step,particle,species,x1,x2,v1,v2,f1,f2,a1,a2
1,0,A,0.0,0.0,1.0127696976598723,0.00862267660378037,2.553939531974462,1.724535320756074,2.553939531974462,1.724535320756074
1,1,B,1.2,0.25,-1.0063135899821885,0.00721291380922362,-2.5254359928755994,2.8851655236894427,-1.2627179964377997,1.4425827618447213
1,2,A,0.55,1.35,-0.9806169849361668,0.9857784785109902,3.8766030127672204,-2.844304297802076,3.8766030127672204,-2.844304297802076
1,3,B,2.1,0.85,-1.0038004226288422,-1.0014835867860228,-1.5201690515463264,-0.5934347144084848,-0.7600845257731632,-0.2967173572042424
1,4,A,1.7,1.95,0.9880753124984043,0.9941401908388214,-2.384937500319756,-1.171961832234956,-2.384937500319756,-1.171961832234956
2,0,A,0.010255393953197446,1.724535320756074e-4,1.035227613976514,0.02528064986796573,1.937643731353863,1.607059332080998,1.937643731353863,1.607059332080998
2,1,B,1.1898737282003562,0.2501442582761845,-1.0179192251496993,0.021636363270885473,-2.116818074127378,2.88421426097496,-1.058409037063689,1.44210713048748
2,2,A,0.5403876603012767,1.3597155695702199,-0.9421720066496941,0.9568605925302398,3.812392644527161,-2.9392728983471463,3.812392644527161,-2.9392728983471463
2,3,B,2.089923991547423,0.8399703282642795,-1.0115680246784775,-1.002279077213869,-1.5868717683109046,0.2752385432704233,-0.7934358841554523,0.13761927163521165
2,4,A,1.709761506249968,1.9598828038167764,0.965918892329598,0.9791441854877458,-2.0463465334427418,-1.827239237979235,-2.0463465334427418,-1.827239237979235
3,0,A,0.02070455227953028,5.056129973593146e-4,1.0500166186099624,0.040416796482668785,1.0201571953358186,1.420169990859613,1.0201571953358186,1.420169990859613
3,1,B,1.179641615497006,0.2504327272654177,-1.02676388933175,0.03617617332461465,-1.4210475986889533,2.931709760516409,-0.7105237993444766,1.4658548802582045
3,2,A,0.5311565598670062,1.3691372118506049,-0.9044376662603104,0.9270516108544347,3.7344754333493473,-3.0225234368129756,3.7344754333493473,-3.0225234368129756
3,3,B,2.0797686395064305,0.8299544184557226,-1.019434230451055,-0.9990073935837784,-1.5596105407213825,1.0334349087657606,-0.7798052703606912,0.5167174543828803
3,4,A,1.719318377846592,1.9695828837097549,0.9468172872160174,0.9581940331812033,-1.7739744892748301,-2.362791223328807,-1.7739744892748301,-2.362791223328807
4,0,A,0.03125572632539669,9.80789461728983e-4,1.053576160254448,0.05319670704855585,-0.30824886643877897,1.1358121223178008,-0.30824886643877897,1.1358121223178008
4,1,B,1.1693384504137212,0.25086778174267677,-1.0311489375478877,0.05115094985451152,-0.3329716877635527,3.058200851442058,-0.16648584388177634,1.529100425721029
4,2,A,0.5222989069760705,1.3782566017873086,-0.8675212202336968,0.8964611032472924,3.6488137719740648,-3.095578084615665,3.6488137719740648,-3.095578084615665
4,3,B,2.069535306938402,0.819990180392604,-1.026952930372782,-0.9922042790618812,-1.4478694279647244,1.6878108999932666,-0.7239347139823622,0.8439054499966333
4,4,A,1.7286978519942884,1.9790466844804004,0.9301487958206067,0.932448848118872,-1.5597237898070089,-2.7862457891374603,-1.5597237898070089,-2.7862457891374603
5,0,A,0.041776075484619236,0.0015695471383304317,1.041124022785752,0.062466381452582785,-2.182178627300454,0.7181227584875844,-2.182178627300454,0.7181227584875844
5,1,B,1.1590186367460482,0.25145574626250794,-1.0287897277165725,0.0670475096426093,1.2766556202887074,3.3004230637969996,0.6383278101443537,1.6502115318984998
5,2,A,0.5138061354623322,1.3870664339155507,-0.8314787888783759,0.8651847438696181,3.5596724990905706,-3.1596937909205973,3.5596724990905706,-3.1596937909205973
